采样时间,进程PID,内存占用(MB),CPU占用率(%),进程状态
2025-10-15 13:20:00,12483,326.3,2.8,运行中
2025-10-15 13:25:00,12483,323.9,2.0,运行中
2025-10-15 13:30:00,12483,329.4,4.0,运行中
2025-10-15 13:35:00,12483,336.3,1.3,运行中
2025-10-15 13:40:00,12483,330.3,1.0,运行中
2025-10-15 13:45:00,12483,336.9,3.7,运行中
2025-10-15 13:50:00,12483,327.2,2.8,运行中
2025-10-15 13:55:00,12483,332.1,0.9,运行中
2025-10-15 14:00:00,12483,334.6,2.4,运行中
2025-10-15 14:05:00,12483,334.9,2.4,运行中
2025-10-15 14:10:00,12483,322.4,1.6,运行中
2025-10-15 14:15:00,12483,322.7,3.9,运行中
2025-10-15 14:20:00,12483,336.4,3.5,运行中
2025-10-15 14:25:00,12483,327.2,0.5,运行中
2025-10-15 14:30:00,12483,336.2,4.0,运行中
2025-10-15 14:35:00,12483,323.5,2.2,运行中
2025-10-15 14:40:00,12483,323.1,3.3,运行中
2025-10-15 14:45:00,12483,334.2,0.8,运行中
2025-10-15 14:50:00,12483,329.4,2.4,运行中
2025-10-15 14:55:00,12483,325.9,3.7,运行中
2025-10-15 15:00:00,12483,328.3,1.1,运行中
2025-10-15 15:05:00,12483,330.0,3.1,运行中
2025-10-15 15:10:00,12483,324.4,1.5,运行中
2025-10-15 15:15:00,12483,337.0,2.8,运行中
2025-10-15 15:20:00,12483,327.9,2.3,运行中
2025-10-15 15:25:00,12483,322.6,1.2,运行中
2025-10-15 15:30:00,12483,325.8,2.6,运行中
2025-10-15 15:35:00,12483,323.9,1.2,运行中
2025-10-15 15:40:00,12483,321.1,2.8,运行中
2025-10-15 15:45:00,12483,323.4,3.8,运行中
2025-10-15 15:50:00,12483,333.3,0.6,运行中
2025-10-15 15:55:00,12483,323.0,2.9,运行中
2025-10-15 16:00:00,12483,322.4,0.8,运行中
2025-10-15 16:05:00,12483,333.6,2.5,运行中
2025-10-15 16:10:00,12483,326.0,3.4,运行中
2025-10-15 16:15:00,12483,331.0,1.0,运行中
2025-10-15 16:20:00,12483,319.3,2.0,运行中
2025-10-15 16:25:00,12483,324.2,2.1,运行中
2025-10-15 16:30:00,12483,328.8,2.9,运行中
2025-10-15 16:35:00,12483,332.5,0.7,运行中
2025-10-15 16:40:00,12483,322.9,1.6,运行中
2025-10-15 16:45:00,12483,329.9,1.3,运行中
2025-10-15 16:50:00,12483,318.8,2.0,运行中
2025-10-15 16:55:00,12483,322.1,1.4,运行中
2025-10-15 17:00:00,12483,319.0,3.9,运行中
2025-10-15 17:05:00,12483,321.7,3.7,运行中
2025-10-15 17:10:00,12483,323.0,0.5,运行中
2025-10-15 17:15:00,12483,329.8,3.6,运行中
2025-10-15 17:20:00,12483,328.9,3.9,运行中
2025-10-15 17:25:00,12483,326.6,0.9,运行中
2025-10-15 17:30:00,12483,320.3,1.1,运行中
2025-10-15 17:35:00,12483,318.6,0.5,运行中
2025-10-15 17:40:00,12483,317.8,4.1,运行中
2025-10-15 17:45:00,12483,315.5,3.4,运行中
2025-10-15 17:50:00,12483,318.1,1.9,运行中
2025-10-15 17:55:00,12483,325.7,4.2,运行中
2025-10-15 18:00:00,12483,318.9,3.1,运行中
2025-10-15 18:05:00,12483,312.0,1.5,运行中
2025-10-15 18:10:00,12483,324.6,2.6,运行中
2025-10-15 18:15:00,12483,317.3,3.2,运行中
2025-10-15 18:20:00,12483,309.1,2.6,运行中
2025-10-15 18:25:00,12483,315.7,3.6,运行中
2025-10-15 18:30:00,12483,309.7,4.0,运行中
2025-10-15 18:35:00,12483,308.0,1.0,运行中
2025-10-15 18:40:00,12483,315.8,2.9,运行中
2025-10-15 18:45:00,12483,309.6,0.8,运行中
2025-10-15 18:50:00,12483,319.6,1.3,运行中
2025-10-15 18:55:00,12483,314.4,2.7,运行中
2025-10-15 19:00:00,12483,311.1,2.6,运行中
2025-10-15 19:05:00,12483,312.3,3.9,运行中
2025-10-15 19:10:00,12483,306.7,3.1,运行中
2025-10-15 19:15:00,12483,306.8,1.8,运行中
2025-10-15 19:20:00,12483,313.3,1.5,运行中
2025-10-15 19:25:00,12483,307.1,3.2,运行中
2025-10-15 19:30:00,12483,302.7,2.1,运行中
2025-10-15 19:35:00,12483,317.1,4.2,运行中
2025-10-15 19:40:00,12483,301.8,1.1,运行中
2025-10-15 19:45:00,12483,304.4,3.9,运行中
2025-10-15 19:50:00,12483,313.8,3.7,运行中
2025-10-15 19:55:00,12483,305.2,0.9,运行中
2025-10-15 20:00:00,12483,312.2,3.0,运行中
2025-10-15 20:05:00,12483,308.2,4.2,运行中
2025-10-15 20:10:00,12483,308.4,0.3,运行中
2025-10-15 20:15:00,12483,310.6,1.5,运行中
2025-10-15 20:20:00,12483,307.7,4.0,运行中
2025-10-15 20:25:00,12483,298.8,0.8,运行中
2025-10-15 20:30:00,12483,297.9,2.5,运行中
2025-10-15 20:35:00,12483,300.2,2.7,运行中
2025-10-15 20:40:00,12483,306.9,1.1,运行中
2025-10-15 20:45:00,12483,305.1,1.3,运行中
2025-10-15 20:50:00,12483,302.4,3.8,运行中
2025-10-15 20:55:00,12483,307.7,0.7,运行中
2025-10-15 21:00:00,12483,300.6,1.4,运行中
2025-10-15 21:05:00,12483,293.5,3.3,运行中
2025-10-15 21:10:00,12483,303.3,1.3,运行中
2025-10-15 21:15:00,12483,304.6,2.5,运行中
2025-10-15 21:20:00,12483,299.2,0.3,运行中
2025-10-15 21:25:00,12483,293.2,3.7,运行中
2025-10-15 21:30:00,12483,306.1,2.4,运行中
2025-10-15 21:35:00,12483,304.7,2.6,运行中
2025-10-15 21:40:00,12483,293.4,0.8,运行中
2025-10-15 21:45:00,12483,295.6,3.8,运行中
2025-10-15 21:50:00,12483,303.1,3.7,运行中
2025-10-15 21:55:00,12483,304.5,1.1,运行中
2025-10-15 22:00:00,12483,293.8,0.7,运行中
2025-10-15 22:05:00,12483,302.0,3.7,运行中
2025-10-15 22:10:00,12483,295.8,2.7,运行中
2025-10-15 22:15:00,12483,291.5,3.9,运行中
2025-10-15 22:20:00,12483,302.6,4.1,运行中
2025-10-15 22:25:00,12483,301.6,3.7,运行中
2025-10-15 22:30:00,12483,288.8,3.2,运行中
2025-10-15 22:35:00,12483,293.5,3.9,运行中
2025-10-15 22:40:00,12483,300.8,3.7,运行中
2025-10-15 22:45:00,12483,300.7,1.3,运行中
2025-10-15 22:50:00,12483,300.2,0.7,运行中
2025-10-15 22:55:00,12483,301.4,3.6,运行中
2025-10-15 23:00:00,12483,290.8,3.5,运行中
2025-10-15 23:05:00,12483,294.5,1.5,运行中
2025-10-15 23:10:00,12483,299.7,1.2,运行中
2025-10-15 23:15:00,12483,287.3,1.1,运行中
2025-10-15 23:20:00,12483,292.0,3.7,运行中
2025-10-15 23:25:00,12483,302.2,1.4,运行中
2025-10-15 23:30:00,12483,296.9,1.9,运行中
2025-10-15 23:35:00,12483,302.3,2.4,运行中
2025-10-15 23:40:00,12483,301.5,0.7,运行中
2025-10-15 23:45:00,12483,302.0,1.0,运行中
2025-10-15 23:50:00,12483,301.8,1.3,运行中
2025-10-15 23:55:00,12483,288.1,2.0,运行中
2025-10-16 00:00:00,12483,298.1,1.5,运行中
2025-10-16 00:05:00,12483,296.1,2.3,运行中
2025-10-16 00:10:00,12483,292.6,2.5,运行中
2025-10-16 00:15:00,12483,290.5,3.1,运行中
2025-10-16 00:20:00,12483,286.5,3.9,运行中
2025-10-16 00:25:00,12483,295.2,3.1,运行中
2025-10-16 00:30:00,12483,298.5,2.9,运行中
2025-10-16 00:35:00,12483,292.5,0.6,运行中
2025-10-16 00:40:00,12483,297.4,1.6,运行中
2025-10-16 00:45:00,12483,291.9,3.6,运行中
2025-10-16 00:50:00,12483,298.5,1.5,运行中
2025-10-16 00:55:00,12483,292.1,1.9,运行中
2025-10-16 01:00:00,12483,293.7,1.5,运行中
2025-10-16 01:05:00,12483,289.5,1.9,运行中
2025-10-16 01:10:00,12483,302.6,2.9,运行中
2025-10-16 01:15:00,12483,302.2,2.7,运行中
2025-10-16 01:20:00,12483,292.8,2.4,运行中
2025-10-16 01:25:00,12483,288.2,1.4,运行中
2025-10-16 01:30:00,12483,295.2,2.6,运行中
2025-10-16 01:35:00,12483,299.1,2.1,运行中
2025-10-16 01:40:00,12483,295.9,1.1,运行中
2025-10-16 01:45:00,12483,296.6,3.8,运行中
2025-10-16 01:50:00,12483,302.0,1.0,运行中
2025-10-16 01:55:00,12483,290.9,2.3,运行中
2025-10-16 02:00:00,12483,300.0,1.6,运行中
2025-10-16 02:05:00,12483,303.2,3.2,运行中
2025-10-16 02:10:00,12483,301.2,1.2,运行中
2025-10-16 02:15:00,12483,293.9,0.4,运行中
2025-10-16 02:20:00,12483,294.9,2.2,运行中
2025-10-16 02:25:00,12483,304.9,0.6,运行中
2025-10-16 02:30:00,12483,298.3,2.8,运行中
2025-10-16 02:35:00,12483,295.1,3.0,运行中
2025-10-16 02:40:00,12483,300.3,1.3,运行中
2025-10-16 02:45:00,12483,303.2,0.3,运行中
2025-10-16 02:50:00,12483,305.1,3.3,运行中
2025-10-16 02:55:00,12483,295.1,2.0,运行中
2025-10-16 03:00:00,12483,296.6,4.0,运行中
2025-10-16 03:05:00,12483,302.5,0.5,运行中
2025-10-16 03:10:00,12483,298.6,3.6,运行中
2025-10-16 03:15:00,12483,302.3,3.4,运行中
2025-10-16 03:20:00,12483,306.1,4.2,运行中
2025-10-16 03:25:00,12483,305.3,4.0,运行中
2025-10-16 03:30:00,12483,310.5,2.7,运行中
2025-10-16 03:35:00,12483,308.2,2.3,运行中
2025-10-16 03:40:00,12483,310.4,2.4,运行中
2025-10-16 03:45:00,12483,311.9,3.2,运行中
2025-10-16 03:50:00,12483,305.5,1.3,运行中
2025-10-16 03:55:00,12483,302.3,2.8,运行中
2025-10-16 04:00:00,12483,311.1,2.3,运行中
2025-10-16 04:05:00,12483,309.3,1.4,运行中
2025-10-16 04:10:00,12483,301.0,1.4,运行中
2025-10-16 04:15:00,12483,304.5,1.5,运行中
2025-10-16 04:20:00,12483,309.3,0.8,运行中
2025-10-16 04:25:00,12483,304.8,3.0,运行中
2025-10-16 04:30:00,12483,312.9,0.6,运行中
2025-10-16 04:35:00,12483,308.6,2.4,运行中
2025-10-16 04:40:00,12483,309.2,1.1,运行中
2025-10-16 04:45:00,12483,309.7,3.8,运行中
2025-10-16 04:50:00,12483,312.8,3.0,运行中
2025-10-16 04:55:00,12483,317.6,3.3,运行中
2025-10-16 05:00:00,12483,310.5,0.3,运行中
2025-10-16 05:05:00,12483,310.5,3.2,运行中
2025-10-16 05:10:00,12483,319.0,4.0,运行中
2025-10-16 05:15:00,12483,312.5,3.2,运行中
2025-10-16 05:20:00,12483,315.0,2.7,运行中
2025-10-16 05:25:00,12483,310.3,1.2,运行中
2025-10-16 05:30:00,12483,314.2,0.4,运行中
2025-10-16 05:35:00,12483,313.1,2.9,运行中
2025-10-16 05:40:00,12483,314.6,0.9,运行中
2025-10-16 05:45:00,12483,316.1,0.8,运行中
2025-10-16 05:50:00,12483,319.0,0.4,运行中
2025-10-16 05:55:00,12483,315.8,2.5,运行中
2025-10-16 06:00:00,12483,310.4,2.8,运行中
2025-10-16 06:05:00,12483,312.6,2.1,运行中
2025-10-16 06:10:00,12483,311.7,1.8,运行中
2025-10-16 06:15:00,12483,314.7,1.6,运行中
2025-10-16 06:20:00,12483,323.9,1.8,运行中
2025-10-16 06:25:00,12483,324.2,3.5,运行中
2025-10-16 06:30:00,12483,316.6,0.6,运行中
2025-10-16 06:35:00,12483,313.3,2.4,运行中
2025-10-16 06:40:00,12483,329.4,1.7,运行中
2025-10-16 06:45:00,12483,324.2,3.3,运行中
2025-10-16 06:50:00,12483,324.6,3.2,运行中
2025-10-16 06:55:00,12483,329.8,1.1,运行中
2025-10-16 07:00:00,12483,315.3,0.9,运行中
2025-10-16 07:05:00,12483,317.4,2.9,运行中
2025-10-16 07:10:00,12483,324.8,1.2,运行中
2025-10-16 07:15:00,12483,327.3,3.3,运行中
2025-10-16 07:20:00,12483,319.1,2.7,运行中
2025-10-16 07:25:00,12483,328.8,0.7,运行中
2025-10-16 07:30:00,12483,330.2,4.1,运行中
2025-10-16 07:35:00,12483,319.2,0.4,运行中
2025-10-16 07:40:00,12483,322.8,2.9,运行中
2025-10-16 07:45:00,12483,333.4,1.8,运行中
2025-10-16 07:50:00,12483,329.8,0.6,运行中
2025-10-16 07:55:00,12483,329.7,2.7,运行中
2025-10-16 08:00:00,12483,320.6,3.3,运行中
2025-10-16 08:05:00,12483,332.8,2.6,运行中
2025-10-16 08:10:00,12483,321.4,4.1,运行中
2025-10-16 08:15:00,12483,332.3,1.7,运行中
2025-10-16 08:20:00,12483,326.8,1.7,运行中
2025-10-16 08:25:00,12483,328.3,1.6,运行中
2025-10-16 08:30:00,12483,334.0,3.5,运行中
2025-10-16 08:35:00,12483,322.3,4.0,运行中
2025-10-16 08:40:00,12483,331.0,3.5,运行中
2025-10-16 08:45:00,12483,332.3,2.0,运行中
2025-10-16 08:50:00,12483,332.9,4.1,运行中
2025-10-16 08:55:00,12483,325.7,3.5,运行中
2025-10-16 09:00:00,12483,330.1,2.2,运行中
2025-10-16 09:05:00,12483,328.6,3.2,运行中
2025-10-16 09:10:00,12483,326.1,3.6,运行中
2025-10-16 09:15:00,12483,335.2,0.6,运行中
2025-10-16 09:20:00,12483,336.1,1.3,运行中
2025-10-16 09:25:00,12483,329.5,16.7,运行中
2025-10-16 09:30:00,12483,328.2,8.9,运行中
2025-10-16 09:35:00,12483,335.9,11.0,运行中
2025-10-16 09:40:00,12483,325.7,19.3,运行中
2025-10-16 09:45:00,12483,327.8,20.4,运行中
2025-10-16 09:50:00,12483,333.6,12.2,运行中
2025-10-16 09:55:00,12483,322.6,21.3,运行中
2025-10-16 10:00:00,12483,323.8,3.1,运行中
2025-10-16 10:05:00,12483,330.2,3.3,运行中
2025-10-16 10:10:00,12483,333.4,2.8,运行中
2025-10-16 10:15:00,12483,330.2,3.4,运行中
2025-10-16 10:20:00,12483,323.8,1.2,运行中
2025-10-16 10:25:00,12483,333.3,1.5,运行中
2025-10-16 10:30:00,12483,331.5,2.1,运行中
2025-10-16 10:35:00,12483,330.6,2.0,运行中
2025-10-16 10:40:00,12483,333.9,1.6,运行中
2025-10-16 10:45:00,12483,333.1,1.4,运行中
2025-10-16 10:50:00,12483,325.8,0.8,运行中
2025-10-16 10:55:00,12483,324.7,0.8,运行中
2025-10-16 11:00:00,12483,330.1,3.3,运行中
2025-10-16 11:05:00,12483,324.3,1.1,运行中
2025-10-16 11:10:00,12483,329.0,3.1,运行中
2025-10-16 11:15:00,12483,336.7,2.3,运行中
2025-10-16 11:20:00,12483,325.4,0.7,运行中
2025-10-16 11:25:00,12483,323.8,1.2,运行中
2025-10-16 11:30:00,12483,323.3,0.4,运行中
2025-10-16 11:35:00,12483,328.8,1.4,运行中
2025-10-16 11:40:00,12483,335.6,2.5,运行中
2025-10-16 11:45:00,12483,330.9,0.8,运行中
2025-10-16 11:50:00,12483,333.4,2.2,运行中
2025-10-16 11:55:00,12483,333.2,2.5,运行中
2025-10-16 12:00:00,12483,326.5,2.0,运行中
2025-10-16 12:05:00,12483,321.6,0.5,运行中
2025-10-16 12:10:00,12483,333.4,2.2,运行中
2025-10-16 12:15:00,12483,331.2,1.9,运行中
2025-10-16 12:20:00,12483,319.0,2.8,运行中
2025-10-16 12:25:00,12483,318.3,0.9,运行中
2025-10-16 12:30:00,12483,326.1,1.5,运行中
2025-10-16 12:35:00,12483,332.7,0.8,运行中
2025-10-16 12:40:00,12483,328.7,2.7,运行中
2025-10-16 12:45:00,12483,328.7,1.2,运行中
2025-10-16 12:50:00,12483,324.1,2.1,运行中
2025-10-16 12:55:00,12483,322.4,3.7,运行中
2025-10-16 13:00:00,12483,330.8,1.5,运行中
2025-10-16 13:05:00,12483,324.5,2.7,运行中
2025-10-16 13:10:00,12483,326.0,4.0,运行中
2025-10-16 13:15:00,12483,317.1,1.1,运行中
2025-10-16 13:20:00,12483,324.0,0.9,运行中
2025-10-16 13:25:00,12483,315.8,0.6,运行中
2025-10-16 13:30:00,12483,312.6,2.1,运行中
2025-10-16 13:35:00,12483,321.7,1.4,运行中
2025-10-16 13:40:00,12483,315.4,3.1,运行中
2025-10-16 13:45:00,12483,322.5,2.1,运行中
2025-10-16 13:50:00,12483,321.8,3.9,运行中
2025-10-16 13:55:00,12483,323.0,2.7,运行中
2025-10-16 14:00:00,12483,320.5,3.9,运行中
2025-10-16 14:05:00,12483,316.3,2.4,运行中
2025-10-16 14:10:00,12483,319.4,3.8,运行中
2025-10-16 14:15:00,12483,321.8,0.6,运行中
2025-10-16 14:20:00,12483,310.8,1.5,运行中
2025-10-16 14:25:00,12483,319.7,2.5,运行中
2025-10-16 14:30:00,12483,311.8,0.8,运行中
2025-10-16 14:35:00,12483,317.8,3.0,运行中
2025-10-16 14:40:00,12483,321.4,2.3,运行中
2025-10-16 14:45:00,12483,313.7,0.6,运行中
2025-10-16 14:50:00,12483,306.0,2.0,运行中
2025-10-16 14:55:00,12483,310.0,1.3,运行中
2025-10-16 15:00:00,12483,305.9,4.1,运行中
2025-10-16 15:05:00,12483,317.3,2.5,运行中
2025-10-16 15:10:00,12483,318.7,4.2,运行中
2025-10-16 15:15:00,12483,313.7,1.4,运行中
2025-10-16 15:20:00,12483,303.2,3.2,运行中
2025-10-16 15:25:00,12483,309.6,2.8,运行中
2025-10-16 15:30:00,12483,316.2,1.0,运行中
2025-10-16 15:35:00,12483,310.5,2.8,运行中
2025-10-16 15:40:00,12483,308.5,0.7,运行中
2025-10-16 15:45:00,12483,305.8,1.6,运行中
2025-10-16 15:50:00,12483,310.5,3.6,运行中
2025-10-16 15:55:00,12483,304.6,3.0,运行中
2025-10-16 16:00:00,12483,303.4,4.0,运行中
2025-10-16 16:05:00,12483,311.4,2.4,运行中
2025-10-16 16:10:00,12483,305.2,1.5,运行中
2025-10-16 16:15:00,12483,302.7,4.1,运行中
2025-10-16 16:20:00,12483,303.5,2.3,运行中
2025-10-16 16:25:00,12483,312.5,2.9,运行中
2025-10-16 16:30:00,12483,304.9,1.9,运行中
2025-10-16 16:35:00,12483,298.8,1.7,运行中
2025-10-16 16:40:00,12483,307.5,2.7,运行中
2025-10-16 16:45:00,12483,307.2,1.1,运行中
2025-10-16 16:50:00,12483,303.4,3.9,运行中
2025-10-16 16:55:00,12483,301.2,3.0,运行中
2025-10-16 17:00:00,12483,295.8,4.1,运行中
2025-10-16 17:05:00,12483,303.2,1.2,运行中
2025-10-16 17:10:00,12483,295.6,2.4,运行中
2025-10-16 17:15:00,12483,301.5,0.7,运行中
2025-10-16 17:20:00,12483,308.2,3.9,运行中
2025-10-16 17:25:00,12483,299.4,0.8,运行中
2025-10-16 17:30:00,12483,305.0,2.2,运行中
2025-10-16 17:35:00,12483,302.8,2.3,运行中
2025-10-16 17:40:00,12483,295.4,3.6,运行中
2025-10-16 17:45:00,12483,306.4,1.3,运行中
2025-10-16 17:50:00,12483,299.2,1.8,运行中
2025-10-16 17:55:00,12483,304.9,2.3,运行中
2025-10-16 18:00:00,12483,303.9,3.7,运行中
2025-10-16 18:05:00,12483,294.0,3.4,运行中
2025-10-16 18:10:00,12483,295.9,3.9,运行中
2025-10-16 18:15:00,12483,297.2,3.5,运行中
2025-10-16 18:20:00,12483,293.3,1.5,运行中
2025-10-16 18:25:00,12483,298.0,4.2,运行中
2025-10-16 18:30:00,12483,296.2,0.9,运行中
2025-10-16 18:35:00,12483,296.8,1.6,运行中
2025-10-16 18:40:00,12483,296.8,2.4,运行中
2025-10-16 18:45:00,12483,295.1,1.6,运行中
2025-10-16 18:50:00,12483,290.6,3.0,运行中
2025-10-16 18:55:00,12483,296.6,1.2,运行中
2025-10-16 19:00:00,12483,299.7,0.5,运行中
2025-10-16 19:05:00,12483,299.1,3.1,运行中
2025-10-16 19:10:00,12483,300.0,1.8,运行中
2025-10-16 19:15:00,12483,297.5,3.5,运行中
2025-10-16 19:20:00,12483,302.5,2.2,运行中
2025-10-16 19:25:00,12483,287.3,2.3,运行中
2025-10-16 19:30:00,12483,296.1,3.7,运行中
2025-10-16 19:35:00,12483,300.5,2.0,运行中
2025-10-16 19:40:00,12483,294.9,2.1,运行中
2025-10-16 19:45:00,12483,298.0,1.9,运行中
2025-10-16 19:50:00,12483,296.9,0.9,运行中
2025-10-16 19:55:00,12483,293.9,4.1,运行中
2025-10-16 20:00:00,12483,291.8,3.0,运行中
2025-10-16 20:05:00,12483,296.8,3.6,运行中
2025-10-16 20:10:00,12483,300.1,3.7,运行中
2025-10-16 20:15:00,12483,292.5,1.5,运行中
2025-10-16 20:20:00,12483,298.0,3.3,运行中
2025-10-16 20:25:00,12483,300.5,0.4,运行中
2025-10-16 20:30:00,12483,287.7,2.8,运行中
2025-10-16 20:35:00,12483,301.4,4.2,运行中
2025-10-16 20:40:00,12483,298.7,2.0,运行中
2025-10-16 20:45:00,12483,288.5,2.8,运行中
2025-10-16 20:50:00,12483,301.0,2.0,运行中
2025-10-16 20:55:00,12483,298.2,3.8,运行中
2025-10-16 21:00:00,12483,288.0,3.4,运行中
2025-10-16 21:05:00,12483,292.1,1.8,运行中
2025-10-16 21:10:00,12483,289.9,2.4,运行中
2025-10-16 21:15:00,12483,296.8,3.4,运行中
2025-10-16 21:20:00,12483,290.7,0.6,运行中
2025-10-16 21:25:00,12483,302.1,2.7,运行中
2025-10-16 21:30:00,12483,292.2,3.9,运行中
2025-10-16 21:35:00,12483,290.9,2.1,运行中
2025-10-16 21:40:00,12483,292.9,1.3,运行中
2025-10-16 21:45:00,12483,289.2,3.4,运行中
2025-10-16 21:50:00,12483,303.7,2.9,运行中
2025-10-16 21:55:00,12483,292.1,2.0,运行中
2025-10-16 22:00:00,12483,295.4,2.6,运行中
2025-10-16 22:05:00,12483,300.3,2.0,运行中
2025-10-16 22:10:00,12483,294.4,3.6,运行中
2025-10-16 22:15:00,12483,293.9,1.8,运行中
2025-10-16 22:20:00,12483,298.8,1.2,运行中
2025-10-16 22:25:00,12483,300.5,2.5,运行中
2025-10-16 22:30:00,12483,307.6,1.5,运行中
2025-10-16 22:35:00,12483,307.7,2.9,运行中
2025-10-16 22:40:00,12483,296.7,2.5,运行中
2025-10-16 22:45:00,12483,303.7,3.2,运行中
2025-10-16 22:50:00,12483,293.9,2.7,运行中
2025-10-16 22:55:00,12483,301.4,3.8,运行中
2025-10-16 23:00:00,12483,298.4,3.4,运行中
2025-10-16 23:05:00,12483,303.9,1.7,运行中
2025-10-16 23:10:00,12483,304.8,2.7,运行中
2025-10-16 23:15:00,12483,305.8,3.1,运行中
2025-10-16 23:20:00,12483,305.9,3.6,运行中
2025-10-16 23:25:00,12483,305.9,3.8,运行中
2025-10-16 23:30:00,12483,306.6,1.5,运行中
2025-10-16 23:35:00,12483,303.7,2.6,运行中
2025-10-16 23:40:00,12483,308.8,0.7,运行中
2025-10-16 23:45:00,12483,302.2,3.2,运行中
2025-10-16 23:50:00,12483,300.8,0.8,运行中
2025-10-16 23:55:00,12483,307.0,4.1,运行中
2025-10-17 00:00:00,12483,307.3,3.9,运行中
2025-10-17 00:05:00,12483,312.6,1.3,运行中
2025-10-17 00:10:00,12483,312.9,2.2,运行中
2025-10-17 00:15:00,12483,313.1,3.2,运行中
2025-10-17 00:20:00,12483,306.1,0.7,运行中
2025-10-17 00:25:00,12483,316.5,0.8,运行中
2025-10-17 00:30:00,12483,317.0,3.7,运行中
2025-10-17 00:35:00,12483,313.6,4.1,运行中
2025-10-17 00:40:00,12483,318.0,3.4,运行中
2025-10-17 00:45:00,12483,308.8,3.4,运行中
2025-10-17 00:50:00,12483,303.7,2.4,运行中
2025-10-17 00:55:00,12483,311.2,2.9,运行中
2025-10-17 01:00:00,12483,315.2,2.6,运行中
2025-10-17 01:05:00,12483,318.0,4.0,运行中
2025-10-17 01:10:00,12483,307.1,1.2,运行中
2025-10-17 01:15:00,12483,306.2,3.7,运行中
2025-10-17 01:20:00,12483,315.3,3.9,运行中
2025-10-17 01:25:00,12483,310.3,0.5,运行中
2025-10-17 01:30:00,12483,320.4,3.8,运行中
2025-10-17 01:35:00,12483,312.5,1.9,运行中
2025-10-17 01:40:00,12483,310.4,4.0,运行中
2025-10-17 01:45:00,12483,313.5,2.2,运行中
2025-10-17 01:50:00,12483,310.6,3.8,运行中
2025-10-17 01:55:00,12483,311.7,2.1,运行中
2025-10-17 02:00:00,12483,320.7,3.2,运行中
2025-10-17 02:05:00,12483,325.5,1.9,运行中
2025-10-17 02:10:00,12483,322.7,0.9,运行中
2025-10-17 02:15:00,12483,317.9,0.7,运行中
2025-10-17 02:20:00,12483,319.6,1.9,运行中
